Organization,abstract,address,bidders,categories,closing_date,competitionNumber,linkTo,status,title
,,,,,,,,,
"Duffley, Brenda","Phase I: Bridge rehabilitation works on DVP at piers and abutments, at Don Mills Road (ID109), Spanbridge Road (ID112), Wynford Drive (ID191) and Lawrence Avenue (ID149) in 2019. 
Phase II: Bridge super-structure rehabilitation works at Don Mills Road Bridge over DVP (ID109) in 2020. 
 
Note: Please be advised that this Call Document is NOT yet available for purchase. This Call Document will be released in the near future. Please see the attachment for further information in the Notes section above.
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Bridge Repairs","March 11, 2019",54-2019,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/32907368D505EF9F85258398006F1532/$file/Notice of Intended Procurement - Tender 54-2019 19ECS-TI-07BE.pdf,***,"Rehabilitation of Bridges over the Don Valley Parkway (Bridge ID. 112), (Bridge ID 191), (Bridge ID.149) "
,,,,,,,,,
"Morgan, Mary Ann","Scope of work includes, but is not limited to, the following: 
.2	Provide all safety requirements and protection necessary or as required by local by-laws and governing authorities, including but not limited to: temporary fence barriers (i.e., Insta-fence), guardrails, overhead protection, sidewalk or curb protection, warning notices and temporary interior floor coverings.  Perform this work in accordance with Section 01 11 50. 
.3	Provide access, including elevated work platforms, ladders and scaffolding as required to examine and perform the specified work.  Perform this work in accordance with Section 01 11 50. 
.4	Perform asbestos abatement and mould remediation as specified in Section 02 82 00, Summary of Hazardous Material Abatement. 
.5	Prepare and submit to the Consultant and Owner for review, shop drawings, samples, product data and detailed manufacturer’s written installation instructions for the replacement windows, fire rated curtain wall window, and sloped glazing assembly. 
.6	Perform the following preparation work: 
.1	Perform a preconstruction review with the Consultant of all Work Areas and Work access areas to record the condition of the building and site components which are to remain.  Document with dated digital photographs and notify the Consultant in writing of any existing damage caused by others. 
.2	Provide and maintain suitable protection for existing interior finishes within the Administration Offices.  Remove protection when work is complete within each work area or as otherwise directed by the Consultant. 
.7	Provide the following mock-ups for review by the Owner and Consultant: 
.1	Perform complete window rehabilitation, including, sealant replacement, perimeter frame insulating, frame painting, and operable awning window replacement at one (1) W1 Window Type location. 
.2	Perform complete window rehabilitation, including, sealant replacement, perimeter frame insulating, frame painting, IGU replacement, metal panel replacement at one (1) W14 Window Type location. 
.3	Perform one (1) spandrel panel rehabilitation at the W6 Window Type location. 
.4	Perform glass block replacement and repointing work at one (1) W21 Window Type location. 
.5	Perform one full size module mock-up of the complete fire rated curtain wall replacement (Window Type W11), including all typical components and typical connections.  Curtain wall installation to be complete, if applicable, installation of fireproofing, all millwork, extruded aluminum sills, capping and flashings, application of sealants, insulation, gypsum board repairs and painting. 
.6	 Perform one full size module mock-up of the complete sloped glazing assembly replacement (SG1), including all typical components and typical connections.  Sloped glazing assembly installation to be complete, including underlying drainage membrane and sheathing and structural steel framing and bracket connections if applicable, curtain wall, sheet metal roofing and flashing, glazing, and application of sealants. 
.7	Mock-ups will serve for initial review and testing purposes by the Owner and Consultant.  The mock-ups shall represent the minimum standard for work when accepted by the Owner and Consultant.  Mock-up may remain as part of the Work if accepted.  All damage to mock-up during the Work, including damage caused by testing shall be repaired to meet the project specifications as directed by the Consultant. 
.8	Perform the following window rehabilitation and replacement work at all W1 to W4 Window Type locations at the Landfill Gas Vent building: 
.1	Remove and dispose of all the existing operable awning window components, including sealants and backing, as required to provide a suitable opening for new operable awning windows as specified and as indicated on the reviewed shop drawings in accordance with Section 02 41 00. 
.2	Remove and dispose of existing sealant and backing material at all interior and exterior window frame perimeter joints, window frame to frame joints, window frame to louvre joints, louvre frame to frame joints in accordance with Section 02 41 00. 
.3	Provide spray applied polyurethane (SPF) insulation in rough opening space between main window framing and substrate in accordance with Section 07 21 00.  Foam shall extend from the interior to the location of the exterior backer rod and must completely fill the rough opening between the window and surrounding construction.  Multi-passes may be necessary to ensure adequate fill. 
.4	Clean all interior surfaces of the existing window frames and louvres. 
.5	Prepare all exterior surfaces of all existing window frames to receive new paint in accordance with Section 09 91 00. 
.6	Apply primer and paint coating to all exterior surfaces of all existing window frames in accordance with Section 09 91 00. 
.7	Supply, fabricate and install new operable awning window as specified in Section 08 51 90, as indicated on Drawings and the reviewed shop drawings. 
.8	Remove and dispose of all existing insulated glass units from the transom of Window Type W4, including glazing tapes, sealants and backing, as required to provide a suitable opening for installation of new insulated glass units and in accordance with Section 02 41 00. 
.9	Provide new sealed insulated glass units in the transom of Window Type W4, complete with new glazing tape and splines in accordance with Section 08 80 00.  Confirm site measurements of all insulated glass units prior to fabrication. 
.10	Provide new sealants and backing material at all interior and exterior window frame perimeter joints, window frame to frame joints, window frame to louvre joints, louvre frame to frame joints in accordance with Section 07 92 00.  Ensure all existing drainage / weep holes are maintained. 
.11	Clean and polish interior and exterior surfaces of glass after installation to the satisfaction of the Consultant and Owner, with a commercial glass cleaner or water and household hand dishwashing detergent solution. 
.9	Perform the following window rehabilitation and replacement work at all W5 to W10, and W12 to W22 Window Type locations at the Administration Building and Transfer Station: 
.1	Remove, store for reuse and reinstall the exterior cages within the Household Hazardous Waste Depot to permit window rehabilitation and replacement work. 
.2	Remove and dispose of existing sealant and backing material at the all interior and exterior window frame perimeter joints, window frame to frame joints, window frame to louvre joints, louvre frame to frame joints in accordance with Section 02 41 00. 
.3	Perform the following work on all interior structural steel framing at window Type W21 and W22 locations: 
.1	Clean all interior surfaces of the all interior structural steel framing. 
.2	Examine the structural steel and bracket connections.  Identify areas of corrosion and damage.  Subsequently verify with the Consultant those areas which are to be repaired and mark out the areas as directed by the Consultant. 
.3	Provisional:  Perform repairs to the structural steel framing and brackets as directed by the Consultant.   
.4	Provisional:  Prepare surfaces, prime and paint all repaired structural steel framing and brackets in accordance with Section 09 91 00. 
.4	Provide spray applied polyurethane (SPF) insulation in rough opening space between main window framing and substrate in accordance with Section 07 21 00.  Foam shall extend from the interior to the location of the exterior backer rod and must completely fill the rough opening between the window and surrounding construction.  Multi-passes may be necessary to ensure adequate fill. 
.5	Clean all interior surfaces of the existing window frames and louvres. 
.6	Prepare all exterior surfaces of all existing window frames to receive new paint in accordance with Section 09 91 00. 
.7	Apply primer and paint coating to all exterior surfaces of all existing window frames in accordance with Section 09 91 00. 
.8	Remove and dispose of all existing insulated glass units, including glazing tapes, sealants and backing, as required to provide a suitable opening for installation of new insulated glass units and in accordance with Section 02 41 00. 
.9	Remove and dispose of all existing metal panels, including glazing tapes, sealants and backing, as required to provide a suitable opening for installation of new insulated metal panels and in accordance with Section 02 41 00. 
.10	Provide new insulated glass units and metal panels, complete with new glazing tape and splines in accordance with Section 08 80 00.  Provide new aluminum glass stops and glazing splines at fixed glazed window locations on Window Types W21 and W22.  Confirm site measurements of all insulated glass units and metal panels prior to fabrication. 
.11	Perform the following repairs to the spandrel glass areas: 
.1	Remove, protect with suitable covering and store for re-use the existing spandrel glass lite.  Clean the existing spandrel glass lite and all glazing rebate surfaces. 
.2	Remove and dispose of the thermal insulation in the back-pan in accordance with Section 02 41 00. 
.3	Remove and replace all sealants at joints in the back-pan and joints between the back-pan and the window framing in accordance with Section 07 92 00. 
.4	Provide new 50 mm thick semi-rigid mineral wool insulation in accordance with Section 07 21 00. 
.5	Reinstall existing spandrel glass lite, complete with new glazing tape and splines in accordance with Section 08 80 00. 
.6	Provisional:  Replace the spandrel glass lite if damaged where directed by the Consultant, in accordance with Section 08 80 00. 
.12	Provide new sealants and backing material at all interior and exterior window frame perimeter joints, window frame to frame joints, window frame to louvre joints, louvre frame to frame joints in accordance with Section 07 92 00.  Ensure all existing drainage / weep holes are maintained. 
.13	Clean and polish interior and exterior surfaces of glass after installation to the satisfaction of the Consultant and Owner, with a commercial glass cleaner or water and household hand dishwashing detergent solution. 
.10	Perform the following glass block replacement and re-pointing work at all W21 and W22 Window Type locations at the Tipping Floor of the Transfer Station: 
.1	Examine the glass block walls in order to establish areas and quantities of re-pointing, and individual block replacement.  Subsequently verify with the Consultant those areas which are to be repaired and mark out the areas as directed by the Consultant. 
.2	Remove and dispose of the damaged glass block units where directed by the Consultant in accordance with Section 02 41 00.  This work shall be performed on an approved unit price basis. 
.3	Re-point cracked and deteriorated mortar joints where directed by the Consultant in accordance with Section 04 23 90.  This work shall be performed on an approved unit price basis. 
.11	Perform the following fire rated curtain wall replacement work at W11 Window Type location at the Administration Building: 
.1	Remove and dispose of the existing window components, including sills, sealants and backing, as required to provide a suitable opening for installation of all flashings and new window as specified and as indicated on the reviewed shop drawings in accordance with Section 02 41 00. 
.2	Remove and dispose of the existing fireproofing on the structural steel beam as required to install and secure the new fire rated aluminum curtain wall window in accordance with Section 02 41 00 
.3	Do NOT remove existing window unless the replacement unit is on site and the complete replacement can be completed during the same work day. 
.4	Ensure continuity of vapour retarder and air barrier is maintained around the rough window opening.  Repair existing vapour retarder as required and as directed by the Consultant. 
.5	Provide continuous aluminum angle and self-adhering membrane along the entire sill of window.  Turn up the jambs a minimum of 50 mm and over the continuous aluminum angle. 
.6	Do NOT leave an unprotected wall opening unattended at any time. 
.7	Provide new prefinished extruded aluminum sills complete with end dams as specified in Section 08 44 20 at all window locations. 
.8	Supply, fabricate and install new 60-minute fire-rated aluminum curtain wall window as specified in Section 08 44 20 and as indicated on Drawings and the reviewed shop drawings. 
.9	Provide new fireproofing where existing was removed on existing structural steel beam in accordance with Section 07 81 00.  Perform this work as directed by the Consultant on the approved Unit Price basis. 
.10	Provide mineral wool batt insulation in rough opening space between window and substrate in accordance with Section 07 21 00  and as indicated on Drawings. 
.11	Repair damage to existing interior finishes around window opening caused by work of this project up to 300 mm out from the windows.  Repair to include damage to interior finish from the installation of strap anchors (if required).  Repair gypsum board and plaster finishes in accordance with Section 09 21 00.  Prepare surfaces, prime and paint interior finish repairs in accordance with Section 09 91 00. 
.12	Provide new sealants and backing for a continuous exterior watertight seal around the new fire-rated aluminum curtain wall window, including extruded sill in accordance with Section 07 92 00.  Provide weep holes at underside of extruded sills to permit drainage. 
.13	Provide continuous interior airtight seal around the window in accordance with Section 07 92 00. 
.14	Provide sealed insulating glass units in the fixed glazed sections of the new window units in accordance with Section 08 80 00. 
.15	Provide insulated metal panels in the fixed glazed sections of the new window units where indicated on Drawings and in accordance with Section 08 80 00. 
.16	Provide glazed spandrel, complete with insulated, vented and drained galvanized metal back pans where indicated on Drawings and in accordance with Section 08 80 00.  Provide 64 mm semi rigid mineral wool insulation within the back pan in accordance with Section 07 21 00. 
.17	Provide prefinished sheet metal flashing, complete continuous cleats, at transitions to adjacent metal cladding and cap flashing along the top of the parapet wall as indicated on Drawings and in accordance with Section 07 62 00. 
.18	Provide new sealants and backing for a continuous exterior watertight seal around new window, including extruded sill in accordance with Section 07 92 00.  Provide weep holes at underside of extruded sills to permit drainage. 
.19	Clean and polish interior and exterior surfaces of glass after installation to the satisfaction of the Consultant and Owner, with a commercial glass cleaner or water and household hand dishwashing detergent solution. 
.12	Perform the following replacement work at SG1 Sloped Glazing system replacement at the Transfer Station: 
.1	Provide temporary weatherproof enclosure.  The temporary enclosure to be complete from lower roof level to upper roof level for the entire length of the sloped glazing system.  Provide minimum 3.0 metre space beyond the base of the sloped glazing system and beyond the upper roof parapet wall.  Perform this work in accordance with Section 01 11 50 
.2	Provide safety / debris netting on the interior below the sloped glazing system.  Suspend the netting from the existing structure.  Perform this work in accordance with Section 01 11 50. 
.3	Coordinate with the Consultant the closure of chute areas below the sloped glazing area.  Provide temporary fencing to close-off tipping floor area below the active work area. 
.4	Remove and dispose of the existing sloped glazing system, including plastic glazing panels, framing members, flashings, sealants and backing, as required to provide a suitable opening for installation of all new flashings and sloped glazing system as specified and as indicated on the reviewed shop drawings in accordance with Section 02 41 00. 
.5	Remove and dispose of the existing metal siding and related sheet metal flashings and underlying drainage membrane located at the head of the sloped glazing system in accordance with Section 02 41 00. 
.6	Review the condition of the sheathing. 
.7	Perform the following work on all interior structural steel framing: 
.1	Clean all interior surfaces of the all interior structural steel framing. 
.2	Examine the structural steel and bracket connections.  Identify areas of corrosion and damage.  Subsequently verify with the Consultant those areas which are to be repaired and mark out the areas as directed by the Consultant.  Allow time for the Consultant to review and develop the scope of repair work. 
.3	Provisional:  Perform repairs to the structural steel framing and brackets as directed by the Consultant.  This repair work will be performed under a Cash Allowance. 
.4	Prepare surfaces, prime and paint all exposed structural steel framing and brackets in accordance with Section 09 91 00. 
.8	Provisional:  Remove and dispose of the sheathing in accordance with Section 02 41 00.  Provide new metal decking in accordance with Section 05 31 00.  Provide new gypsum board sheathing in accordance with Section 07 61 00. 
.9	Provide new continuous wood shims and plywood sheathing as indicated on Drawings and in accordance with Section 06 10 00. 
.10	Supply, fabricate and install new sloped glazing system as specified in Section 08 44 33 as indicated on Drawings and the reviewed shop drawings. 
.11	Provide new sheet metal roofing complete with self-adhering membrane underlayment at the head of the sloped glazing system in accordance with Section 07 61 00. 
.12	Provide prefinished sheet metal flashing, complete continuous cleats, at transitions to adjacent metal cladding and cap flashing along the top of the parapet wall as indicated on Drawings and in accordance with Section 07 62 00. 
.13	Provide new sealants and backing to provide watertight seals in accordance with Section 07 92 00  
.13	Replace scratched, etched, or defective glazing resulting from manufacture, installation, setting, handling, or storage until date of Total Performance. 
.14	Perform daily and final clean-up of work areas, surrounding areas, and site. 
.15	The above description is general only and must not be construed as limiting the scope of work. 
 
FOR SPECIFIC INFORMATION RELATING TO THIS TENDER, REFER TO A VIEWING COPY AVAILABLE FROM THE CITY'S INTERNET SITE.
 
 
 
 
","City Hall, 17th Floor West Tower",,"Construction Services, Construction Services","March 14, 2019",56-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/24FE328C5B2BA31485258399006AA628/$file/Notice of Intended Procurement.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/24FE328C5B2BA31485258399006AA628/$file/Tender 56-2019 Viewing Copy1.pdf",***,"Rooftop Glazing Replacement, Exterior Window Replacement and Rehabilitation @ Disco Rd Transfer Station"
,,,,,,,,,
"Kysym, Christina","BID BOND:  10% of Bid Amount 
 
CONTRACT NO.  18ECS-TI-10BE 
 
NOTE: 
This call document is available for purchase and download online on our website. 
A non-refundable fee (shown above) in the form of Credit card, Debit card, cash or cheque payable to the Treasurer, City of Toronto, is required for each call document. 
 
Drawings:   
 
Tender Drawings are available for download to purchasers of the tender document.   
 
SCOPE OF WORK: 
•	Don Valley Parkway Noise Wall at Spanbridge Road – (Design-Build) 
•	The project is located along the west side of Don Valley Parkway, south of Spanbridge Road. The project is located in Ward Number 16 (Don Valley East) 
•	The project consists of the detailed design and construction of a 215m pre-cast noise barrier wall along the west Don Valley Parkway right-of-way and the south Spanbridge Road right-of-way. 
 
Completion Date: 
This Contract, including all site restorations, clean up, and rectification of all known deficiencies, must be completed within 100 Working Days from the date of commencement of the Work indicated in the Order to Commence Work which will be issued following the execution of the agreement for this Contract. 
 
MANDATORY EXPERIENCE AND QUALIFICATIONS: 
 
The Bidder must have the following experience in order to be considered for award: 
 
•	In the past ten (10) years, the Bidder must have achieved Substantial Completion including testing and commissioning within the meaning of the Construction Lien Act, as the General Contractor, two (2) noise wall or retaining wall in bridge projects, each with a dollar value in excess of $500,000.00 (excluding HST) or three (3) bridge projects with an aggregate dollar value of $3,000,000.00 (excluding HST) total, involving bridge rehabilitation/improvement work on arterial roadway or ravine (as defined by the respective jurisdictional transport authority) in Canada. 
  
•	The Bidder’s subcontrator for noise wall design-build must have successfully completed at least one (1) noise wall design-built project with a dollar value in excess of $500,000.00 involving noise wall installation or two (2) noise wall projects with similar experience with a dollar value in excess of $700,000.00 in other provinces in the past ten (10) years. 
 
•	Certificate of Recognition (COR™) Requirement
 
 
 
 
","City Hall, 19th Floor, West Tower",,"Construction Services, Construction Services","February 20, 2019",52-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9CF0188B99E5C5B685258398005A537A/$file/18ECS-TI-10BE - Tender Issued DRAWINGS.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9CF0188B99E5C5B685258398005A537A/$file/52-2019 - NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9CF0188B99E5C5B685258398005A537A/$file/52-2019 Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9CF0188B99E5C5B685258398005A537A/$file/52-2019 - Addendum No. 1.pdf",***,Don Valley Parkway Noise Wall at Spanbridge Road - (Design Build)
,,,,,,,,,
"Parker, Max","Scope of Work  
 
1.1.	The following is a general description of the scope of work to complete the natural gas generator installation.  For a detailed description of the technical aspects of the work, refer to the specification sections and contract drawings. 
1.2.	Notify and co-ordinate with Owner, Consultant, and Occupants, whenever work will affect operation of the building. 
1.3.	Contractor to ensure there will be no obstruction to the fire route. Onsite parking for the contractor may be limited. If required, contractor may be asked to park off site at no additional cost to the contract. 
1.4.	Access to site to be coordinated with City of Toronto and Toronto Fire Services. Contractor must call into Toronto Fire Service security daily on days the contractor wishes to work onsite to be granted access. Any issues with coordination of site access will not result in additional costs to the contract. 
1.5.	Contractor to locate all underground and above ground utilities and structures within vicinity of proposed work. 
1.6.	Once the Contract has been awarded, construction shall be carried out in one continuing operation, unless agreed to and approved by the City of Toronto and Consultant at the time of such request. 
1.7.	The Contractor and his/her Sub-Contractors shall assume full responsibility for their equipment and all materials required for this project and shall store them in a locked secure area at the end of each day work. No equipment or materials shall be left in an open area unprotected at the end of each work day. 
1.8.	Overall performance and completion of the Work is Contractor's responsibility. Breakdown of Work by trades is for the convenience of the Contractor only. All trades are required to examine all Sections of the Drawings and Specifications.  
1.9.	Work specified in the specification has been divided into technical sections for the purpose of ready reference. Division of work among subcontractors and suppliers is solely the contractor’s responsibility and the Contract Administrator assumes no responsibility to act as an arbitrator to establish subcontract limits between sections or divisions of work. 
1.10.	Prior to Tender submission examine the sites and surrounding areas and be fully informed as to the conditions and limitations under which the work has to be executed. Additional costs will not be entertained with respect to conditions which could reasonably have been ascertained by an inspection of the site prior to tender closing. 
1.11.	During the Contract duration, the Contractor is responsible to correct immediately, any interruption to essential services caused by his/her work whether they occur during the day or night, (business days or weekend and/or holidays). The maximum response time of two (2) hours is required. Other types of interruptions shall be corrected within 24 (twenty four) hours. Failure to respond within the specified time period shall render the Contractor responsible for payment of all changes incurred by the Owner when a third party has to be called to perform the necessary work. 
1.12.	Contractor to provide a 2 year full parts and labor warranty from the date of substantial completion date on all workmanship and equipment from the date of substantial completion. 
1.13.	Contractor shall engage Enbridge within five business days of issuance of a Purchase Order for the natural gas station/regulator upgrades.  Project delays due to inadequate/delayed coordination with Enbridge will not be accepted.  Contractor to pay Enbridge directly for the natural gas station/regulator upgrades. Direct costs for the Enbridge upgrades will be taken from the cash allowance. 
1.14.	All coordination costs (Enbridge, ESA, THES, TFS, EMS, etc.) is to be included in the base bid. No coordination costs or markup will be accepted as contract extras. 
2.	Scope of work 
This work shall include, but not necessarily be limited to the short summary below: 
3.	Labour, material and equipment to complete work of Contract in conformity with Contract Documents, drawings and specifications. 
3.1.	Permits, inspections, tests, and systems verifications. Demolition, relocation, and removal of existing equipment and services to complete Work. 
3.2.	Delivery, receiving, inspection at time of delivery, unloading, and hoisting of materials and equipment. Any ferry fee and any cost related to transportation of materials to site. Ferry service starts at 6:30am, Monday to Friday. Ferry can carry up to 18 Ton with a maximum length of 68 feet. 
3.3.	Clean-up of materials and garbage on daily basis or as directed, and removal of unused equipment/materials from site. 
3.4.	The contractor shall install a new natural gas standby generator equipped as per the latest approved CSA standard C282 ""Emergency Electrical Power Supply for Buildings"" (battery warmer, enclosure heater, enclosure lighting, enclosure panelboard, etc…).  The electrical scope of work includes the installation of the standby generator, associated power and control equipment, and the reconnection of the existing building loads to the new generator as shown in the drawing package. 
3.5.	Building temporary power is not anticipated to be required by the contractor during the time of reconnection from existing power distribution system to new power distribution system (less than 4 hour outage). Contractor must provide city PM 10 business day advance notice of any power outages so that temporary power can be arranged at an additional cost if the fire chief deems it necessary to maintain operation at the fire station during the time of reconnection. 
3.6.	Disconnect, remove and/or relocate all existing services and/or equipment and reconnect where necessary. 
3.7.	All disturbed areas are to be restored to match existing conditions or better. 
3.8.	The contractor shall build new generator pad including bollards and/or fenced enclosure as specified in the contract drawings complete with landscaping. 
3.9.	The contractor shall provide and install all equipment indicated in the contract drawings. The contractor shall set up and commission all systems and provide ready to operate power distribution and standby power system capable to operate under all applicable standards and regulatory requirements.  
The generator equipment includes but is not limited to the following: 
4.	ELECTRICAL DIVISION (PRIME CONTRACTOR)  
4.1.	Provide an Outdoor Containerized Natural Gas Generator.  
4.2.	Provide all feeders to accommodate the installation of the new generator.  
4.3.	Provide disconnect switch, Automatic Transfer Switch (ATS), beakers, panels, Remote Annunciator panels, EPO, etc. to facilitate tie-in of new generator. 
4.4.	Provide all low voltage wirings to accommodate the installation of all EPO, Generator Annunciator panel, and Automatic Transfer Switch (ATS). 
4.5.	Provide all feeders and devices that are associated with fire alarm work: 
4.6.	Provide emergency battery lighting. 
4.7.	Coordinate with mechanical and structure and include all provisions as required to facilitate the new installation completely. 
4.8.	Provide modification to existing ceiling, wall, devices, etc. to facilitate the new installation. Upon completion, repair, patch and reinstall, painting, etc. as required and make good.  
4.9.	Provide demolition works as required and make good. 
4.10.	Provide feeders and modifications as noted in single line diagram.  
4.11.	Coordinate with utilities, owners, etc. for all associated works. Include all provisions to accommodate the installation of new generator.  
4.12.	Schedule shut-downs. 
4.13.	Provide all miscellaneous material such as conduit, sleeves, offsets, terminations, connections, lugs, junction box, pulling box/vaults, etc. to facilitate the new installation completely as per codes. 
4.14.	Testing and Commissioning of new generator, ATS and other equipment.  
4.15.	Regarding Toronto Hydro associated work, all contractor coordination work with Toronto Hydro will be part of base bid. Any direct costs from Toronto Hydro to be paid by the contractor through cash allowance (no markup). 
5.	MECHANICAL DIVISION  
5.1.	Retain Enbridge Gas to review the existing low-pressure meter/regulator assembly and the existing gas service to determine if an upgrade is required to suit the additional gas loading.  (Part of Cash Allowance).  
5.2.	Schedule shut-down of gas service. 
5.3.	Provide natural gas piping to the new gas fired generator and interconnection with existing gas piping.  
5.4.	Provide natural gas valves, piping and regulator to interconnect with the new generator. 
5.5.	Provide natural gas valves, piping and regulator to interconnect with the existing gas piping.   
5.6.	Installation, inspection and testing of the new gas piping.  
6.	GENERAL DIVISION  
6.1.	Provide Trenching/Excavation.  
6.2.	Provide Backfilling.  
6.3.	Regrade and resurface to match base building conditions.  
6.4.	Provide sleeving and openings.  
6.5.	Provide seal for openings.  
6.6.	Provide generator concrete pad.  
6.7.	Provide protective bollards.  
6.8.	Provide housekeeping equipment concrete pads.   
6.9.	Inspection and testing  
7.	Working Hours 
7.1.	Normal working hours are from 7:00 a.m. to 5:00 p.m. Monday to Friday.  
7.2.	All noisy and/or odorous work must be completed outside of normal working hours. 
7.3.	Shutdown of services will not be permitted without the approval of Toronto Fire Services and must have a minimum of three (3) days' notice. Toronto Fire Services the right to stop any disruptive work and request to have this work completed at a different time at no extra cost.  
8.	Commencement and completion Date. 
8.1.	The start date of this contract is immediately upon receipt of purchase order, following the award of the contract. Award is conditional on all approvals, bonding, and insurance being in place. Continuous and progressive operation shall be carried out until the work is completed. The date of substantial performance for construction shall be 24 weeks from the date of the purchase order, and the deemed completion date shall be 26 weeks from the date of the purchase order.  
8.2.	The contractor shall be responsible to provide all the forces necessary to complete the scope of work within the specified period. Any delay work will be subject to penalty as per the liquidated damages clauses noted on Section 5A 
9.	Record Drawings and As Built Drawings: 
9.1.	Maintain a complete up-to-date set of record drawings and specifications on site throughout the duration of the project. 
9.2.	The project close out documents (including three (3) hard copies of Operation and Maintenance Manuals and three (3) CAD copy of as-built drawings) must be submitted by the contractor and accepted by the City of Toronto Project Manager before the certificate of Substantial Performance can be issued by the consultant. 
10.	Reference Material 
10.1.	Pre-Renovation DSS Report included with Specifications. 
10.2.	City Policy for Construction Renovation Waste Diversion 
 
Please see document for more details
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Construction Services","March 8, 2019",51-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/Tender 51-2019 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 1.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 2.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 3.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 4.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 5.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 6.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 7.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 8.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 9.PDF,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 10.PDF,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 11.PDF,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 Addendum No. 1.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/00F77BF3805E1D608525839400698059/$file/51-2019 - Web Attachment No. 12.PDF",***,Construction Services
,,,,,,,,,
"Chishti, Sahil","See viewing Copy when available.  
 
 
 
","City Hall, 17th Floor West Tower",,"Construction Services, Demolitions","March 31, 2019",3910-19-0021,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/F0F5CA03C85D87828525839B0051F3F8/$file/Notice RFSQ No. 3910-19-0021.pdf,***,Demolition Contractors – For Demolition/Construction and Salvage of Material Recycling Sorting Equipment at the 35 Vanle
